,0
0,"{'label': 'NEGATIVE', 'score': 0.999583899974823}"
1,"{'label': 'NEGATIVE', 'score': 0.9996451139450073}"
2,"{'label': 'NEGATIVE', 'score': 0.9949433207511902}"
3,"{'label': 'POSITIVE', 'score': 0.96064293384552}"
4,"{'label': 'NEGATIVE', 'score': 0.9897213578224182}"
5,"{'label': 'POSITIVE', 'score': 0.7966015934944153}"
6,"{'label': 'NEGATIVE', 'score': 0.9888797998428345}"
7,"{'label': 'NEGATIVE', 'score': 0.9901624917984009}"
8,"{'label': 'NEGATIVE', 'score': 0.9814374446868896}"
9,"{'label': 'NEGATIVE', 'score': 0.9953896999359131}"
10,"{'label': 'NEGATIVE', 'score': 0.9945065379142761}"
11,"{'label': 'POSITIVE', 'score': 0.9998563528060913}"
12,"{'label': 'NEGATIVE', 'score': 0.9720197319984436}"
13,"{'label': 'NEGATIVE', 'score': 0.8604997992515564}"
14,"{'label': 'NEGATIVE', 'score': 0.9996114373207092}"
15,"{'label': 'NEGATIVE', 'score': 0.9923415184020996}"
16,"{'label': 'POSITIVE', 'score': 0.9320618510246277}"
17,"{'label': 'NEGATIVE', 'score': 0.9967562556266785}"
18,"{'label': 'NEGATIVE', 'score': 0.9923079013824463}"
19,"{'label': 'NEGATIVE', 'score': 0.9976329803466797}"
20,"{'label': 'NEGATIVE', 'score': 0.9663746953010559}"
21,"{'label': 'NEGATIVE', 'score': 0.9742841720581055}"
22,"{'label': 'NEGATIVE', 'score': 0.6844754219055176}"
23,"{'label': 'POSITIVE', 'score': 0.9880627393722534}"
24,"{'label': 'NEGATIVE', 'score': 0.9964284300804138}"
25,"{'label': 'NEGATIVE', 'score': 0.9845104813575745}"
26,"{'label': 'NEGATIVE', 'score': 0.9959893822669983}"
27,"{'label': 'NEGATIVE', 'score': 0.9977124929428101}"
28,"{'label': 'NEGATIVE', 'score': 0.9620497226715088}"
29,"{'label': 'POSITIVE', 'score': 0.9995889067649841}"
30,"{'label': 'POSITIVE', 'score': 0.9976212382316589}"
31,"{'label': 'POSITIVE', 'score': 0.9997112154960632}"
32,"{'label': 'POSITIVE', 'score': 0.9998007416725159}"
33,"{'label': 'NEGATIVE', 'score': 0.9861631989479065}"
34,"{'label': 'POSITIVE', 'score': 0.9998007416725159}"
35,"{'label': 'POSITIVE', 'score': 0.9990941286087036}"
36,"{'label': 'POSITIVE', 'score': 0.9960089921951294}"
37,"{'label': 'NEGATIVE', 'score': 0.9971354007720947}"
38,"{'label': 'NEGATIVE', 'score': 0.999133288860321}"
39,"{'label': 'POSITIVE', 'score': 0.9973013997077942}"
40,"{'label': 'NEGATIVE', 'score': 0.9964002370834351}"
41,"{'label': 'POSITIVE', 'score': 0.9981022477149963}"
42,"{'label': 'NEGATIVE', 'score': 0.9628969430923462}"
43,"{'label': 'NEGATIVE', 'score': 0.9986409544944763}"
44,"{'label': 'NEGATIVE', 'score': 0.9967632293701172}"
45,"{'label': 'NEGATIVE', 'score': 0.9997101426124573}"
46,"{'label': 'POSITIVE', 'score': 0.9276310801506042}"
47,"{'label': 'NEGATIVE', 'score': 0.9992419481277466}"
48,"{'label': 'NEGATIVE', 'score': 0.9985755681991577}"
49,"{'label': 'POSITIVE', 'score': 0.9869328141212463}"
50,"{'label': 'NEGATIVE', 'score': 0.9911640882492065}"
51,"{'label': 'NEGATIVE', 'score': 0.9974107146263123}"
52,"{'label': 'NEGATIVE', 'score': 0.9984286427497864}"
53,"{'label': 'NEGATIVE', 'score': 0.9960951209068298}"
54,"{'label': 'NEGATIVE', 'score': 0.9988304972648621}"
55,"{'label': 'NEGATIVE', 'score': 0.9991241097450256}"
56,"{'label': 'NEGATIVE', 'score': 0.9847297072410583}"
57,"{'label': 'NEGATIVE', 'score': 0.9967442750930786}"
58,"{'label': 'NEGATIVE', 'score': 0.9909838438034058}"
59,"{'label': 'NEGATIVE', 'score': 0.98111492395401}"
60,"{'label': 'NEGATIVE', 'score': 0.9985666871070862}"
61,"{'label': 'POSITIVE', 'score': 0.999129593372345}"
62,"{'label': 'NEGATIVE', 'score': 0.5082331299781799}"
63,"{'label': 'NEGATIVE', 'score': 0.9716395139694214}"
64,"{'label': 'NEGATIVE', 'score': 0.9716395139694214}"
65,"{'label': 'POSITIVE', 'score': 0.9612557888031006}"
66,"{'label': 'NEGATIVE', 'score': 0.9796953201293945}"
67,"{'label': 'NEGATIVE', 'score': 0.9716395139694214}"
68,"{'label': 'NEGATIVE', 'score': 0.9716395139694214}"
69,"{'label': 'NEGATIVE', 'score': 0.9716395139694214}"
70,"{'label': 'NEGATIVE', 'score': 0.9927734732627869}"
71,"{'label': 'NEGATIVE', 'score': 0.9716395139694214}"
72,"{'label': 'NEGATIVE', 'score': 0.9716395139694214}"
73,"{'label': 'NEGATIVE', 'score': 0.9716395139694214}"
74,"{'label': 'NEGATIVE', 'score': 0.9716395139694214}"
75,"{'label': 'NEGATIVE', 'score': 0.9716395139694214}"
