,words,frequency
0,train,6230
1,pnr,2149
2,s,2118
3,railway,2115
4,sir,1949
5,coach,1841
6,late,1761
7,look,1716
8,time,1604
9,station,1558
10,amp,1401
11,matter,1399
12,kindly,1381
13,express,1352
14,action,1217
15,t,1133
16,running,1111
17,passengers,1077
18,ac,1058
19,help,1055
20,ticket,1019
21,trains,934
22,number,932
23,hours,905
24,travelling,898
25,people,893
26,hrs,803
27,b,786
28,indian,767
29,railways,729
30,seat,680
31,traveling,680
32,share,652
33,experience,641
34,passenger,634
35,water,626
36,service,596
37,waiting,575
38,today,549
39,public,529
40,pls,527
41,journey,520
42,plz,512
43,travel,499
44,result,495
45,dear,494
46,provide,493
47,getting,471
48,like,457
49,reach,454
50,request,448
51,just,434
52,don,434
53,staff,432
54,tickets,431
55,seriously,431
56,good,427
57,delay,426
58,working,423
59,m,420
60,delhi,420
61,new,417
62,delayed,415
63,exp,411
64,issue,407
65,rrb,406
66,need,402
67,provided,400
68,complaint,395
69,condition,391
70,hour,390
71,dirty,389
72,available,383
73,support,372
74,work,370
75,toilet,367
76,stop,360
77,rail,359
78,pathetic,348
79,possible,346
80,larger,345
81,problem,341
82,india,340
83,got,336
84,come,330
85,clean,323
86,immediately,323
87,going,319
88,bad,316
89,redress,313
90,level,312
91,run,309
92,booked,309
93,make,308
94,coaches,306
95,class,305
96,money,303
97,clear,301
98,life,301
99,mumbai,300
100,local,299
101,platform,294
102,continue,293
103,know,292
104,thanks,292
105,future,292
106,punctuality,292
107,special,290
108,pm,290
109,check,285
110,declare,285
111,want,281
112,ntpc,279
113,great,278
114,thank,275
115,trn,273
116,concerned,273
117,services,271
118,inconvenience,271
119,junction,267
120,given,267
121,maintain,267
122,destination,266
123,start,266
124,general,265
125,route,263
126,reason,263
127,food,263
128,standing,259
129,needful,256
130,cleaning,254
131,seats,252
132,u,252
133,person,252
134,taken,249
135,situation,248
136,book,248
137,till,248
138,sleeper,244
139,refund,244
140,booking,242
141,day,242
142,nov,242
143,toilets,241
144,th,241
145,officials,241
146,date,237
147,bharat,234
148,board,232
149,status,231
150,worst,224
151,irctc,224
152,started,224
153,frm,223
154,responsible,223
155,p,223
156,results,221
157,dt,220
158,hr,220
159,years,218
160,bed,218
161,rs,214
162,use,213
163,rpf,210
164,soon,210
165,howrah,209
166,reservation,207
167,able,206
168,old,206
169,tte,205
170,attended,205
171,minister,204
172,minutes,203
173,n,202
174,mobile,201
175,response,201
176,hai,200
177,lot,200
178,having,200
179,daily,199
180,days,197
181,hi,196
182,washroom,194
183,berth,193
184,final,192
185,concern,190
186,pune,190
187,really,189
188,vande,189
189,way,188
190,change,184
191,necessary,183
192,pay,183
193,r,182
194,jn,182
195,c,182
196,year,182
197,taking,177
198,family,177
199,division,176
200,line,176
201,mission,176
202,cen,176
203,compartment,175
204,attendant,174
205,fast,174
206,facing,174
207,received,173
208,long,171
209,min,170
210,rajdhani,170
211,stations,170
212,think,167
213,shame,166
214,respected,165
215,asap,163
216,senior,163
217,confirmed,162
218,reserved,161
219,hope,159
220,complain,159
221,update,159
222,kind,158
223,blanket,158
224,charging,157
225,process,157
226,tatkal,155
227,km,154
228,play,154
229,suffering,153
230,job,153
231,query,153
232,earliest,153
233,cls,152
234,stopped,151
235,left,151
236,ndls,150
237,closed,150
238,mins,150
239,poor,150
240,h,148
241,patna,147
242,better,147
243,let,146
244,contact,146
245,ji,146
246,strict,146
247,morning,145
248,hwh,144
249,team,143
250,proper,143
251,came,143
252,caused,143
253,rd,142
254,reached,142
255,right,141
256,fare,141
257,aspirant,141
258,single,140
259,atleast,139
260,near,137
261,giving,137
262,ho,137
263,mood,137
264,rac,136
265,pillow,136
266,paying,135
267,night,135
268,inside,135
269,confirm,135
270,regretted,135
271,emotion,135
272,departure,134
273,shatabdi,134
274,nd,132
275,app,132
276,times,132
277,understand,131
278,free,130
279,unreserved,130
280,reply,130
281,care,129
282,unable,128
283,speed,128
284,se,128
285,ka,128
286,non,128
287,nhi,128
288,forwarded,127
289,chennai,127
290,cleanliness,126
291,students,126
292,d,126
293,making,125
294,notified,125
295,track,124
296,information,124
297,showing,124
298,counter,124
299,high,123
300,rly,123
301,used,122
302,said,122
303,coming,122
304,ke,122
305,list,122
306,shri,122
307,best,121
308,standby,120
309,yesterday,119
310,urgent,119
311,boarded,118
312,plan,118
313,details,117
314,cleaned,117
315,gorakhpur,117
316,charge,116
